City,County,Zipcode,Total Population 2016,Total Population 2016 Margin of Error,Total Unemployment 2016,Total Unemployment 2016 margin of Error,Age Group 16-19 2016,Age Group 16-19 2016 Margin of Error,Age Group 16-19 2016 Unemployment,Age Group 16-19 2016 Unemployment Margin of Error,Age Group 20-24 2016,Age Group 20-24 2016 Margin of Error,Age Group 20-24 2016 Unemployment,Age Group 20-24 2016 Unemployment Margin of Error,Age Group 25-29 2016,Age Group 25-29 2016 Margin of Error,Age Group 25-29 2016 Unemployment,Age Group 25-29 2016 Unemployment Margin of Error,Age Group 30-34 2016,Age Group 30-34 2016 Margin of Error,Age Group 30-34 2016 Unemployment,Age Group 30-34 2016 Unemployment Margin of Error,Age Group 35-44 2016,Age Group 35-44 2016 Margin of Error,Age Group 35-44 2016 Unemployment,Age Group 35-44 2016 Unemployment Margin of Error,Age Group 45-54 2016,Age Group 45-54 2016 Margin of Error,Age Group 45-54 2016 Unemployment,Age Group 45-54 2016 Unemployment Margin of Error,Age Group 55-64 2016,Age Group 55-64 2016 Margin of Error,Age Group 55-64 2016 Unemployment,Age Group 55-64 2016 Unemployment Margin of Error,Age Group 60-64 2016,Age Group 60-64 2016 Margin of Error,Age Group 60-64 2016 Unemployment,Age Group 60-64 2016 Unemployment Margin of Error,Age Group 65-74 2016,Age Group 65-74 2016 Margin of Error,Age Group 65-74 2016 Unemployment,Age Group 65-74 2016 Unemployment Margin of Error,Age Group 75+ 2016,Age Group 75+ 2016 Margin of Error,Age Group 75+ 2016 Unemployment,Age Group 75+ 2016 Unemployment Margin of Error
Littleton,Arapahoe,80160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Littleton,Arapahoe,80161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Littleton,Jefferson,80162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Littleton,Douglas,80163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Littleton,Arapahoe,80165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Littleton,Arapahoe,80166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80202,12298.0,843.0,4,1.7,418.0,188.0,29.9,24.9,1398.0,334.0,2.1,3.4,2679.0,613.0,3.1,3.8,2382.0,439.0,6,5.1,1569.0,294.0,0.6,1.1,1449.0,311.0,5.3,7.1,834.0,233.0,0,6.7,728.0,212.0,4.5,7.3,593.0,136.0,0,18.7,248.0,107.0,0,82.3
Denver,Denver,80203,19943.0,824.0,4.3,1.2,108.0,90.0,0,36.3,1853.0,312.0,2.4,2,5652.0,561.0,4.5,2.1,4307.0,517.0,3.7,2.7,2773.0,392.0,3.5,2.3,1799.0,292.0,2.8,3.4,954.0,225.0,6.8,5.4,1055.0,273.0,21.8,14.9,1092.0,180.0,0,7.8,350.0,111.0,0,36
Denver,Denver,80204,25430.0,1031.0,8.8,1.4,1720.0,263.0,30.2,13.6,2838.0,356.0,7.4,3.2,3502.0,444.0,3.9,2.2,3010.0,399.0,10.7,3.9,4470.0,400.0,9.5,3.1,3414.0,369.0,5.7,3.2,1802.0,323.0,12.8,5.8,1565.0,225.0,9.2,6.6,1733.0,220.0,2.5,4.1,1376.0,187.0,35.4,32.4
Denver,Denver,80205,27185.0,1129.0,5.2,1.3,884.0,206.0,47.4,29.1,2716.0,688.0,5.3,4.4,5061.0,625.0,3.8,2.7,4088.0,589.0,1.4,1.2,5299.0,509.0,5.8,2.4,3879.0,536.0,7.5,2.8,1557.0,260.0,3,3.5,1408.0,260.0,5.2,5.4,1270.0,231.0,7.2,13.8,1023.0,161.0,13.2,17.5
Denver,Denver,80206,21362.0,735.0,3.5,1,327.0,114.0,12.2,16.2,1379.0,254.0,2.8,2.9,3652.0,441.0,3.6,2.6,3409.0,383.0,2,1.4,3998.0,410.0,4.1,2.5,2535.0,332.0,3.7,1.7,1275.0,234.0,2.7,2.9,1439.0,266.0,2.9,3.4,2175.0,221.0,5.5,3.6,1173.0,187.0,7.1,11.4
Denver,Denver,80207,19624.0,750.0,6.5,1.4,902.0,208.0,44.3,17.8,1111.0,301.0,8.8,5.8,1928.0,352.0,11.8,5.7,2492.0,288.0,1.4,1.4,4151.0,450.0,4.5,2.4,3012.0,321.0,4.1,2,1441.0,258.0,9.1,5.5,1263.0,219.0,5,4.2,1999.0,233.0,5.8,7.1,1325.0,199.0,12.3,18.5
Denver,Denver,80208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80209,22313.0,857.0,4.2,1.3,200.0,82.0,16.5,20.9,1263.0,300.0,3.7,5.2,3504.0,348.0,2.1,1.7,3123.0,396.0,5.2,4.4,4400.0,445.0,3.8,2.2,2940.0,412.0,4.5,3.6,1809.0,329.0,5.7,3.5,1395.0,221.0,12,7.2,2293.0,296.0,0,4,1386.0,200.0,0,22.7
Denver,Denver,80210,30768.0,778.0,4.8,1,2601.0,324.0,18.5,10.2,3257.0,452.0,3.4,2.3,4140.0,479.0,4.3,2.6,3561.0,446.0,6.8,4.2,5252.0,413.0,3.3,1.5,4058.0,314.0,3.4,1.7,1971.0,264.0,7.3,3.6,2130.0,255.0,2.9,2.7,2133.0,232.0,2.1,2.1,1665.0,185.0,0,30.3
Denver,Denver,80211,28243.0,831.0,4.4,1.1,1082.0,265.0,16.8,13.7,1186.0,276.0,2.9,2.9,4159.0,424.0,3.4,2.9,4803.0,468.0,1.6,1,6434.0,456.0,5.9,2.3,3990.0,389.0,3.4,2.2,1584.0,279.0,8,6.4,1418.0,246.0,9.2,6.1,2069.0,258.0,3.7,6,1518.0,201.0,9.7,15.7
Denver,Denver,80212,16570.0,740.0,5.1,1.6,624.0,246.0,19.9,23.5,949.0,278.0,11.7,11.5,2166.0,413.0,0.8,0.9,2012.0,314.0,1.7,1.8,3359.0,391.0,4.2,1.9,2795.0,459.0,5.6,4,1008.0,193.0,4.1,5.4,1127.0,248.0,11.7,10.2,1421.0,216.0,13.7,15.1,1109.0,220.0,0,30
Denver,Jefferson,80214,20859.0,810.0,8.8,1.8,819.0,263.0,54,25.9,2010.0,370.0,5.4,4.4,3172.0,440.0,5.5,4.5,2100.0,335.0,7.3,4,3234.0,353.0,10.7,4.9,3399.0,383.0,10,4.3,1501.0,286.0,6.9,5.2,1439.0,249.0,3.8,4.7,1657.0,252.0,6.9,7,1528.0,199.0,7.1,16.7
Denver,Jefferson,80215,15776.0,702.0,6.9,1.8,645.0,175.0,31.4,23.8,1350.0,341.0,10.5,5.9,1638.0,332.0,4.9,4.2,1172.0,274.0,6.2,5.7,2225.0,323.0,4.6,3.9,2216.0,261.0,6.4,3.4,1634.0,213.0,7.1,5.2,1299.0,216.0,1.7,1.8,1567.0,231.0,4.8,6.7,2030.0,230.0,0,19.2
Denver,Denver,80216,9432.0,794.0,7.9,2.9,963.0,303.0,7.4,8.5,1332.0,375.0,11.8,8,1167.0,279.0,9.7,6.6,1021.0,252.0,14.6,9,1642.0,353.0,5.9,5,1518.0,231.0,5.4,3.5,551.0,147.0,3.4,5.5,506.0,200.0,0,9.1,390.0,105.0,0,21.4,342.0,89.0,0,100
Denver,Denver,80217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80218,17279.0,761.0,5.2,1.3,358.0,160.0,0,38.8,1227.0,226.0,10.4,7.7,3949.0,400.0,1.2,1.1,2843.0,431.0,2.2,2.3,2936.0,351.0,4.4,2.7,1518.0,254.0,15.1,6,1153.0,260.0,7.6,7.2,1100.0,214.0,14.6,10.7,1425.0,198.0,5.7,6.6,770.0,171.0,24,33.7
Denver,Denver,80219,48785.0,1443.0,5.7,1.1,3879.0,452.0,20.4,8.6,4547.0,532.0,5.7,2.8,5624.0,587.0,5.8,2.7,5200.0,510.0,6,2.7,9729.0,709.0,3.8,1.7,7668.0,538.0,3.7,1.7,3462.0,408.0,5.6,2.6,2873.0,358.0,10.3,5.6,3260.0,366.0,5.4,4.7,2543.0,297.0,5.1,8
Denver,Denver,80220,29082.0,826.0,5.9,1.5,1374.0,295.0,38.8,12.9,1877.0,342.0,16.3,7.6,3030.0,507.0,6.6,4.2,3659.0,479.0,4.3,2.5,5987.0,517.0,3.1,2.1,4937.0,439.0,4.8,2.5,2215.0,289.0,5.1,4.7,1726.0,227.0,0.7,1,2845.0,277.0,2.8,4,1432.0,182.0,0,18.8
Denver,Adams,80221,32252.0,1017.0,7.8,1.4,2681.0,345.0,15.5,6.2,3193.0,463.0,14.4,6.2,3302.0,433.0,4.3,2.3,3671.0,376.0,5.5,3.1,5376.0,431.0,5.7,2.7,5424.0,380.0,9.5,3.7,2376.0,335.0,6.6,3.4,2157.0,281.0,0.7,1.1,2232.0,243.0,13.8,7.9,1840.0,226.0,0,22.9
Denver,Denver,80222,18081.0,689.0,6.5,1.7,576.0,180.0,26.7,21.5,1458.0,318.0,7.1,3.7,1867.0,302.0,10.3,6.3,2103.0,342.0,4.2,3.4,3250.0,387.0,3,1.9,2670.0,295.0,6.5,4,1340.0,210.0,7.1,5.1,1402.0,224.0,5.9,4.2,1427.0,189.0,6.8,6.1,1988.0,236.0,0,29.7
Denver,Denver,80223,15277.0,936.0,5.1,1.7,753.0,171.0,8.7,8.1,1408.0,304.0,2.4,3.5,1816.0,312.0,4.8,3.1,2353.0,440.0,3.7,2.4,2866.0,455.0,4.7,3.7,2231.0,343.0,7.4,6.3,1097.0,226.0,8.6,7.3,1022.0,207.0,5.4,5,1108.0,212.0,2.3,3.6,623.0,144.0,0,46.8
Denver,Denver,80224,15632.0,671.0,7,1.6,501.0,168.0,1.8,4.8,1169.0,293.0,15.2,11.6,1767.0,384.0,9.2,5.6,1619.0,333.0,6,6.5,2448.0,410.0,6,4,2248.0,340.0,9,4.8,1338.0,235.0,0.8,1.4,1159.0,214.0,2.9,2.4,1398.0,194.0,5.3,6.3,1985.0,221.0,0,19.7
Denver,Jefferson,80225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Jefferson,80226,26183.0,753.0,4.3,1.1,1569.0,279.0,14.9,7.8,2741.0,579.0,3.8,2.1,3073.0,417.0,5.1,3.3,2624.0,378.0,1.8,1.8,3912.0,331.0,2.8,1.8,3561.0,345.0,4.4,2.3,2063.0,277.0,6.8,3.3,1826.0,223.0,3.6,4.3,2623.0,229.0,1.9,2.2,2191.0,246.0,0,18.2
Denver,Jefferson,80227,28200.0,837.0,4.6,1,1557.0,265.0,9.3,6.7,1967.0,302.0,8,4,3079.0,525.0,6.7,3.7,2536.0,385.0,5.3,3.5,4368.0,377.0,3.3,1.7,4741.0,421.0,3.7,1.6,2479.0,334.0,3.6,2.6,2006.0,250.0,3.1,2.3,3231.0,341.0,2.1,1.7,2236.0,256.0,3.4,5.6
Denver,Jefferson,80228,26652.0,695.0,5.7,1.2,1403.0,196.0,13.1,7.1,2489.0,394.0,12.9,4.7,2493.0,275.0,3.9,3.3,2335.0,316.0,4.3,2,3821.0,350.0,2.2,1.5,4879.0,342.0,5.8,2.3,2365.0,258.0,3.6,2,2306.0,327.0,9,6.8,2767.0,205.0,3.9,2.8,1794.0,223.0,0,32.7
Denver,Adams,80229,39739.0,1146.0,6.1,1,2963.0,450.0,20.4,7.5,4352.0,659.0,6.6,2.9,4840.0,567.0,3.2,2,4390.0,485.0,6.4,3,7357.0,648.0,3.2,1.3,6455.0,560.0,8.5,2.7,2703.0,306.0,4.6,2.2,2512.0,429.0,7.9,4.9,2637.0,302.0,3.3,3.8,1530.0,238.0,0,30
Denver,Denver,80230,6788.0,378.0,6,3.3,304.0,95.0,35.5,35.6,385.0,178.0,0,10.2,641.0,199.0,9.4,12.9,790.0,194.0,1.8,2.8,1334.0,257.0,1.4,1.6,1255.0,213.0,5,6.1,486.0,175.0,17.4,17.9,523.0,186.0,0,8.1,686.0,171.0,17.5,15.2,384.0,158.0,-,**
Denver,Denver,80231,29332.0,1099.0,5.3,1.4,1031.0,269.0,27.8,17,3593.0,541.0,6.3,4.2,4398.0,560.0,4.9,3.4,2850.0,418.0,5.5,3.5,5255.0,611.0,3.8,2.7,3799.0,583.0,3.9,2.6,2215.0,363.0,4.2,4.6,1775.0,324.0,4,3.2,2630.0,281.0,9.3,6.8,1786.0,302.0,12.2,20.2
Denver,Jefferson,80232,18775.0,667.0,5,1.3,961.0,192.0,10.9,7.8,1678.0,346.0,12.9,6.4,1700.0,283.0,7.1,5.9,1833.0,310.0,4.2,3.2,3061.0,352.0,2,2.2,2951.0,327.0,4.7,2.1,1493.0,221.0,4.1,2.6,1256.0,243.0,1.2,1.9,2190.0,201.0,3.6,4.4,1652.0,220.0,4.2,7.5
Denver,Adams,80233,38105.0,1071.0,4.8,1,2363.0,337.0,12.6,6.9,3607.0,505.0,6,3.7,4043.0,530.0,4.9,2.2,4241.0,409.0,5.3,3.5,7222.0,444.0,3.3,1.5,6451.0,510.0,5.5,2,2930.0,409.0,5.9,3.7,2260.0,387.0,0,2.2,2857.0,335.0,0,3.7,2131.0,282.0,0,23.6
Denver,Adams,80234,21463.0,757.0,7.4,2.1,1101.0,232.0,16.1,12,1661.0,342.0,16.5,13.3,3033.0,370.0,7.4,3.7,2039.0,287.0,3.1,1.9,3559.0,480.0,7.8,4.7,3370.0,345.0,5.6,3,1875.0,345.0,6.9,5.8,1658.0,284.0,4.7,3.4,1910.0,233.0,2,2.7,1257.0,210.0,0,65.4
Denver,Jefferson,80235,6484.0,486.0,3.4,1.5,403.0,118.0,18.9,20,502.0,180.0,2,3.6,619.0,141.0,0,5.4,611.0,136.0,2.8,4.4,990.0,219.0,2.6,2.8,1122.0,236.0,4.5,3.7,532.0,116.0,2.9,2.5,478.0,116.0,7.3,11.8,703.0,125.0,0,13.8,524.0,107.0,39.1,44.5
Denver,Denver,80236,14185.0,868.0,7.2,2.2,867.0,328.0,4.2,6.3,1289.0,377.0,10.7,9.2,1417.0,348.0,12.7,8.6,1693.0,358.0,5,4.4,1979.0,333.0,4.4,4.1,2528.0,366.0,6.9,4.1,845.0,193.0,10.6,9.6,1060.0,226.0,8,7.8,1399.0,222.0,0,9,1108.0,205.0,0,24.9
Denver,Denver,80237,17067.0,795.0,3.6,1.1,454.0,130.0,27.6,19.6,1024.0,229.0,2.1,2.5,2450.0,448.0,1.3,1.1,2254.0,417.0,3.6,4.1,2673.0,359.0,0.8,0.8,2558.0,325.0,3.3,2.2,1294.0,247.0,5.5,4.8,1097.0,199.0,10.9,6.9,1831.0,250.0,3.7,4,1432.0,239.0,0,27.9
Denver,Denver,80238,9702.0,323.0,3,1.4,66.0,42.0,0,100,124.0,70.0,12.1,17,516.0,177.0,16.5,18,1487.0,291.0,0.6,0.9,3997.0,349.0,1.1,1.1,1832.0,235.0,0.7,1.1,454.0,161.0,3.5,5.7,559.0,203.0,16.1,15.7,470.0,148.0,19.2,28.5,197.0,91.0,0,60.7
Denver,Denver,80239,32229.0,1171.0,6.5,1.3,2776.0,401.0,8.1,5.6,3356.0,395.0,9.9,4.6,3621.0,418.0,5.6,2.8,4111.0,468.0,8.2,3.9,7307.0,565.0,7.6,2.3,4726.0,524.0,4.9,2.4,2048.0,257.0,2,1.8,1473.0,242.0,0,4,1831.0,310.0,2.8,4.6,980.0,192.0,9.8,14.6
Denver,Adams,80241,25866.0,985.0,4.6,0.9,1728.0,362.0,20.3,9.3,2193.0,410.0,9.4,4.9,2417.0,391.0,2.3,2,2670.0,373.0,4,2.7,5135.0,427.0,4,2.3,4896.0,459.0,2.6,1.6,2092.0,272.0,3.6,3.1,1644.0,258.0,3.5,3.5,2131.0,275.0,6.1,7,960.0,309.0,0,52.9
Denver,Denver,80243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80246,11945.0,402.0,5.9,1.7,342.0,115.0,4.8,7.3,1804.0,374.0,3.9,4.2,2685.0,382.0,9.4,4.4,1758.0,302.0,7.3,6.1,1660.0,209.0,2,2,1443.0,298.0,8.3,5.7,643.0,178.0,1.8,2.9,565.0,185.0,2.1,3.4,520.0,137.0,5.3,8.4,525.0,131.0,0,45.1
Denver,Arapahoe,80247,22802.0,875.0,5.1,1.3,845.0,283.0,29.3,17.9,1985.0,442.0,5.3,4,3319.0,438.0,5.3,4.2,2436.0,386.0,4.1,3.2,3901.0,510.0,3.8,3.1,2814.0,392.0,6.3,3.6,1482.0,286.0,0.6,1,1420.0,228.0,4.6,6.8,2223.0,301.0,3.4,2.6,2377.0,346.0,7.5,11.8
Denver,Denver,80248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80249,20321.0,820.0,5.9,1.6,1211.0,294.0,18.6,13.2,1575.0,303.0,20.8,11.7,2335.0,527.0,3.3,3.9,2971.0,474.0,4.8,4.4,5163.0,549.0,5.5,2.5,3671.0,323.0,4.2,3.2,1273.0,313.0,0,3.3,825.0,207.0,2.4,4.8,1004.0,160.0,0,9.2,293.0,136.0,0,79
Denver,Denver,80250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Adams,80260,25278.0,1286.0,5.6,1.3,1570.0,397.0,12.6,10.3,2557.0,476.0,4,2.7,2373.0,426.0,5.9,4.2,3104.0,392.0,10.8,5.2,4709.0,589.0,2.9,1.6,4085.0,574.0,5.2,3.6,1943.0,326.0,4.5,3.4,1247.0,294.0,1.4,1.6,2028.0,279.0,7,7.8,1662.0,255.0,12.2,25.8
Denver,Denver,80261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80264,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**
Denver,Denver,80265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80290,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**
Denver,Denver,80291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80293,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**
Denver,Denver,80294,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**
Denver,Denver,80295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Denver,80299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder,Boulder,80301,21307.0,725.0,4.3,1.2,898.0,202.0,6.4,7.6,1744.0,318.0,3.1,3.5,2418.0,398.0,4.3,4,2122.0,309.0,2.3,2,3900.0,398.0,4.9,3,3817.0,419.0,5.4,2.1,1619.0,263.0,3.4,2.9,1538.0,201.0,6.5,5.3,2222.0,231.0,2.2,2.5,1029.0,213.0,0,42.5
Boulder,Boulder,80302,26537.0,1249.0,6.6,1.4,2722.0,417.0,29.6,10.5,9644.0,849.0,8.5,2.7,2260.0,355.0,4.8,4.8,1980.0,325.0,4.4,2.5,2218.0,393.0,0.9,1.2,2194.0,316.0,4.8,3.1,1298.0,235.0,5,4.4,1510.0,239.0,2.6,2.6,1702.0,212.0,3,3.4,1009.0,155.0,0,17
Boulder,Boulder,80303,21775.0,835.0,5.8,1.5,1867.0,406.0,13.4,12.7,5311.0,541.0,9,3.8,1984.0,288.0,4.9,3,1394.0,242.0,4.4,3.4,2434.0,240.0,2.3,2.2,2427.0,306.0,5.5,2.9,1456.0,224.0,1.5,1.7,1029.0,168.0,5.3,4.4,1912.0,239.0,3.9,3.9,1961.0,250.0,0,18.6
Boulder,Boulder,80304,21651.0,731.0,4.9,1.6,1028.0,263.0,30,27.3,1543.0,345.0,17.9,11.6,2114.0,415.0,4.7,3.1,2187.0,362.0,2.2,2.1,4034.0,371.0,2.3,1.7,3832.0,397.0,3.7,2.3,1608.0,255.0,2,2.1,1998.0,261.0,4.5,3.1,2071.0,243.0,4.3,4.9,1236.0,189.0,0,23.7
Boulder,Boulder,80305,15086.0,659.0,5.8,1.5,958.0,219.0,19.2,13.7,2869.0,507.0,8.1,4,1625.0,274.0,8.8,5.3,1071.0,221.0,2.3,2.3,2215.0,257.0,3.3,2.1,2303.0,224.0,2.6,1.6,956.0,144.0,8.7,5.8,842.0,141.0,5,4.2,1302.0,131.0,0,7.9,945.0,142.0,0,27
Boulder,Boulder,80306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder,Boulder,80307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder,Boulder,80308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder,Boulder,80309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder,Boulder,80310,6642.0,483.0,14.7,4.4,4629.0,369.0,22.5,6.1,1979.0,426.0,2.8,5.1,7.0,12.0,0,100,27.0,25.0,0,54.8,0.0,16.0,-,**,0.0,16.0,-,**,0.0,16.0,-,**,0.0,16.0,-,**,0.0,16.0,-,**,0.0,16.0,-,**
Boulder,Boulder,80314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder,Boulder,80321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder,Boulder,80322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder,Boulder,80323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder,Boulder,80328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder,Boulder,80329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden,Jefferson,80401,34714.0,809.0,4.6,0.9,2200.0,312.0,18.6,8.1,4207.0,509.0,7.4,4.1,3201.0,465.0,4.2,2.7,2725.0,380.0,2.1,1.5,4878.0,398.0,5.3,2.7,5924.0,515.0,1.9,1.2,2709.0,363.0,3.8,2.4,2798.0,333.0,2.7,2.4,3878.0,329.0,6,3.2,2194.0,263.0,0,20
Golden,Jefferson,80402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden,Jefferson,80403,14969.0,601.0,3.4,1.3,691.0,161.0,7.5,11.9,794.0,254.0,4.7,5.1,721.0,216.0,3.4,4.3,789.0,228.0,1.5,2.6,3051.0,337.0,2,1.9,3255.0,384.0,4.2,3,1636.0,284.0,6.8,5.9,1315.0,242.0,0,4.5,1625.0,249.0,0,5.9,1092.0,198.0,0,31.1
Golden,Jefferson,80419,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**,0.0,11.0,-,**
Alma,Park,80420,627.0,178.0,5,4.4,38.0,34.0,100,82.2,27.0,36.0,0,54.8,42.0,37.0,14.3,26.5,52.0,31.0,14.6,17.2,168.0,86.0,1.8,4.4,146.0,92.0,0,19.7,102.0,105.0,0,25.9,19.0,13.0,0,69.1,31.0,34.0,0,76.1,2.0,3.0,-,**
Bailey,Park,80421,7325.0,462.0,4.3,2.6,536.0,177.0,0,15.7,238.0,126.0,8.1,12.9,269.0,104.0,3.2,9.7,420.0,87.0,5.8,10.3,1046.0,183.0,5.8,5.3,1537.0,276.0,1.4,2.2,1154.0,234.0,6.4,6.4,887.0,196.0,5.6,6.6,937.0,150.0,3.4,6.1,301.0,134.0,0,71.2
Black Hawk,Gilpin,80422,3767.0,262.0,3.5,2.3,128.0,82.0,0,76.1,122.0,62.0,14.3,20.3,125.0,115.0,12,26.2,318.0,128.0,10.1,12.6,867.0,179.0,4.4,4.8,658.0,146.0,0,5.4,487.0,164.0,0.5,0.9,525.0,194.0,0,7.4,457.0,193.0,0,21.1,80.0,50.0,-,**
Bond,Eagle,80423,204.0,194.0,0,20.3,0.0,11.0,-,**,24.0,40.0,0,58.2,36.0,56.0,0,47.5,0.0,11.0,-,**,57.0,84.0,0,45.1,16.0,24.0,0,71.2,17.0,27.0,-,**,11.0,9.0,0,85.9,43.0,40.0,0,100,0.0,11.0,-,**
Breckenridge,Summit,80424,8609.0,643.0,4.7,2.6,266.0,135.0,52.9,37.4,815.0,336.0,12.8,10.1,1542.0,360.0,1.8,3.1,908.0,314.0,0,3.8,1718.0,448.0,2.6,3.4,1333.0,260.0,2.6,3.5,464.0,160.0,0,7.7,609.0,205.0,6.2,6.5,748.0,206.0,0,10.5,206.0,114.0,0,36.7
Buffalo Creek,Jefferson,80425,305.0,147.0,0,12.9,0.0,11.0,-,**,10.0,16.0,0,90.1,15.0,23.0,0,100,0.0,11.0,-,**,9.0,14.0,0,95,0.0,11.0,-,**,87.0,83.0,0,28.4,64.0,61.0,0,58.2,83.0,67.0,0,34.3,37.0,42.0,0,85.9
